tweet_text,cyberbullying_type
"I love spending time with my family on weekends.",not_cyberbullying
"You are so stupid and an idiot, get off this platform.",other
"Technology is evolving rapidly every single day.",not_cyberbullying
"No one likes you, you are a complete loser.",other
"The weather today is absolutely beautiful and sunny.",not_cyberbullying
"Go away, nobody wants a dumb person like you here.",other
"Learning how to cook a new recipe for dinner tonight.",not_cyberbullying
"You look absolutely hideous, delete this post right now.",other
"Reading a fascinating book about space exploration.",not_cyberbullying
"Stop talking, you always make everything worse for everyone.",other
"Can anyone recommend a good movie to watch this weekend?",not_cyberbullying
"You are completely useless and nobody cares about your opinion.",other
"Just finished a great workout session at the gym.",not_cyberbullying
"Why are you even here? Everyone secretly despises you.",other
"The new coffee shop downtown has the best iced lattes.",not_cyberbullying
"You are a total failure and you will never succeed.",other
"Planting some new flowers in the garden this afternoon.",not_cyberbullying
"Get lost, you are the most annoying person alive.",other
"Excited to start my new software development job tomorrow.",not_cyberbullying
"You should be ashamed of yourself, you look terrible.",other
